Year Released,Album Length,Album Name,Artist
2020,3698988,The Lion King: The Gift [Deluxe Edition],Beyoncé
2019,3259775,The Lion King: The Gift,Beyoncé
2019,6554921,HOMECOMING: THE LIVE ALBUM,Beyoncé
2016,2953331,Lemonade,Beyoncé
2014,5611167,BEYONCÉ [Platinum Edition],Beyoncé
2011,3462674,4,Beyoncé
2010,4675830,I Am...World Tour,Beyoncé
2009,2998998,Above And Beyoncé Dance Mixes,Beyoncé
2008,2501222,I AM...SASHA FIERCE,Beyoncé
2007,5234714,B'Day Deluxe Edition,Beyoncé
2006,2897102,B'Day,Beyoncé
2003,3679929,Dangerously In Love,Beyoncé
2022,2973724,Twelve Carat Toothache (Deluxe),Post Malone
2022,2598578,Twelve Carat Toothache,Post Malone
2019,3064235,Hollywood's Bleeding,Post Malone
2018,3854045,beerbongs & bentleys,Post Malone
2016,7678798,Stoney (Complete Edition),Post Malone
2016,4102926,Stoney (Deluxe),Post Malone
2020,3194370,Nectar,Joji
2018,2111149,BALLADS 1,Joji
2018,3256180,In Tongues (Deluxe),Joji
2022,2519556,Harry's House,Harry Styles
2019,2803222,Fine Line,Harry Styles
2017,2423810,Harry Styles,Harry Styles
2022,3152558,"Honestly, Nevermind",Drake
2021,5173117,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2010,3668663,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2019,2848559,Cuz I Love You (Super Deluxe),Lizzo
2019,1998264,Cuz I Love You,Lizzo
2014,2604181,Lizzobangers,Lizzo
2021,2477684,MONTERO,Lil Nas X
2022,2704559,Come Home The Kids Miss You,Jack Harlow
2020,2556937,Thats What They All Say,Jack Harlow
2020,999714,Sweet Action,Jack Harlow
2019,2063644,Confetti,Jack Harlow
2018,2440956,Loose,Jack Harlow
2017,2071826,Gazebo,Jack Harlow
2016,1537829,18,Jack Harlow
2021,3568287,Planet Her (Deluxe),Doja Cat
2021,2646475,Planet Her,Doja Cat
2019,2389530,Hot Pink,Doja Cat
2019,3412288,Amala (Deluxe Version),Doja Cat
2018,2717262,Amala,Doja Cat
